,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
102,Delivery Senior Analyst,Project management,Spirit of innovation,Team spirit,Manufacturing Engineering,Business Transformation,Business Process Improvement,"Delivery Lead for a PLM project
• Acting as Release Train Engineer
• Primary SAFe Agile Implementation
• Creation of an Agile Release Train
• Managing Risks and Opportunities 

Leads Solution Architects support
• Drumbeat & Synchronize Leads Solution Architects 
• Support multiple teams to boost customer deliverables  
• Ensure link between Business and IT teams","Consultant, Aerospace & Defense, Management, Agile, Change management @Access",Delivery Analyst,"Solution Train Engineer assistant
• Support multiple teams to boost customer deliverables  
• Ensure link between Business and IT teams
• Set up Workshops with Suppliers
• Bring Functional & Technical help when needed

Manufacturing Engineering Scrum Master
• Continuous Improvement
• Risk Management & Mitiation
• Enhanced on-time delivery rates on requested quality

Pre-sales & End-to-End Methodology
• Learned E2E scoping Methodology 
• Build reusable templates for future answers to calls for tenders",unckown,unckown,unckown
103,Senior FQA Tester Lead,Microsoft Office,Management,Leadership,Writing,Project Management,Social Media,"• Supervising the quality of the game's video games - Call of Duty: Modern Warfare 2"" - supervising the FQA test stage by managing the team's testers. 
• Develop test plans and documentation and ensure that all marked bugs have been properly resolved by linking Lionbridge with stakeholders.  
• Manage project progress: assess staff, skills, quantity and type of work to be done. Set up and run bug yards (bug reviews) and provide all necessary documentation. 
• Lead the discussions on the state of the bugs and the game in the test phase and collaborate in prioritizing the remaining problems to ensure that they are addressed and resolved.  
• Supervising staff: training, evaluating performance and, if necessary, discipline employees, and providing advice on division of labour. Support and support for some new QA testers.
• Execute test cases accurately and efficiently.
• Report bugs in a clear and concise manner, in accordance with project requirements.
• Ensure customer satisfaction by providing constructive feedback to improve the quality of the game and the gaming experience.
• To acquire knowledge on test methodologies and the video game market.
• Be responsible for work and communication with other team members to provide consistent test cases.",Localization: Quality Assurance: QA Project Management: Proofreading: JLPT N3,French Localization QA test,"• Review the language elements (e.g. text and audio files) before integration.
• Test and identify functional bugs and those relating to French localization, while using XLOC.
• Identify and document defects in a clear and concise manner using the designated bug tracking database.
• Perform daily regression/verification tests.",unckown,unckown,unckown
104,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
105,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
106,Full Stack Developer,Django,Java,Full Stack Js,Full stack,Video editing,Linux System Administration,unckown,Full Stack Developer,Full Stack Developer,unckown,unckown,unckown,unckown
107,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
108,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
109,Electromechanic,Industrial electricity,Tyre,Electrical engineering,Electromechanical,Troubleshooting,Preventive maintenance,Skills : Industrial electricity · Pneumatics · Electromechanical · Troubleshooting · Preventive maintenance · Maintenance and repair,Industrial maintenance electromechanic,Electrician level 3,Skills : Industrial electricity · Pneumatics · Electromechanical · Troubleshooting · Preventive maintenance · Maintenance and repair,unckown,unckown,unckown
110,Founder,Entrepreneurship,Strategy,Marketing Strategy,Team Building,Strategic Planning,Start-ups,"Stealth mode sports nutrition company focus on natural and healthy, functional food and drink products, targeted to youth and young adults. Our patent-depending formulas will revolutionize what athletics put in their bodies for fuel and recovery. Targeted launch Q1, 2023.","Serial Entrepreneur - Successful ""C"" level exec for both Fortune 500 companies as well as digital Start Ups with Successful Exits",Founder,"I am the founder and principal architect of this lifestyle enabled platform targeted at driving value for lifestyle communities. Our initial target was youth sports. Perfect Game Development was our beta application of this patent-depending enterprise level platform, which despite the economy's impact of the pandemic, is growing quickly with thousands of organic downloads per month and frequently hitting the App Store download charts. Re-Play's latest app spans the top 22 most popular team and individual sports as well as general fitness, delivering personalized training to virtually every athletic at any age.

Everyone is talking about athletic development, but Re-Play is currently using proven science, structured curriculum and professionally proven training to assist athletes achieve more focused results, fater. Our revolutionary, patent-depending apps deliver, track, guide, showcase and share player development. We collect and scientifically connect memoryful performance data to individualized training and development programs. We analysis trends in athletic performance, compare to benchmarks for the applicable age and level of play, and chart progress. There games are defined and mapped to specific training activities that focus and accelerate player development. All using our proprietary cloud based software. Additionally, we aggregate the fragmented lifestyle activity that revolves around each athlete to enhance their experience, add convenience and drive multiple wide income stream for the company. Our technology is providing to be disruptive and transformative, coming a foundation for athletic advancement and recrutting. 

For more information about Re-Play, please check out our website at www.poweredbyreplay.app or email info@replay.app. We are actively seeing additional distribution partners in the amateur/youth sports (all sports) and fitness markets.",unckown,unckown,unckown
111,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
112,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
113,Senior Program Manager,Project Management,Agile Project Management,Project Planning,Business Intelligence,Data Warehousing,ETL,unckown,"Digital Transformation Expert, Artificial Intelligence, Smart City, BI, Big Data & Analytics, IoT & Digital Twin",Senior Project Manager,unckown,unckown,unckown,unckown
114,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
115,Fullstack Web developer,redux,AWS Lambda,Microsoft SQL Server,JavaScript,Node.js,React.js,Skills : AWS Lambda · Angular,Fullstack web developer,Fullstack Web developer,"- Needs analysis and drafting of technical and functional specifications
Participation in Scrum events (Daily, Sprint planning, retrospective...)
的 Creating Web Graphics Components
- Implementation of web services rest;
的 Experience in the configuration of AWS Identity Management and Access (IAM) by managing users, new accounts, roles and groups
的 Experience in configuration management and automation using AWS CodeDeploy, gitlab
CI/CD, CodePipeline",unckown,unckown,unckown
116,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
117,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
118,Full Stack Developer,MySQL,Git,Symfony Framework,Scrum,View.js,symfony,"- Maintenance of existing application B2B
- Develop new modules for the B2B sales team 
- Integrate and expose Api with SFR B2B partners
- Develop automation and workflow management solutions
- Migration of PHP code -> PHP5
- Migration of the front part (Integration of Figma models)
- Implementation of strategies for the migration of voluminous data.
- Development of new micro-service projects in Symfony / Angular 14
- Migrating modules on the B2B project 
- Participate in the decomposition and implementation of the architecture of future projects.
- Propose solutions to improve the user experience of the application
- Testing and deployment",Full Stack Developer at SFR Business Distribution,Full Stack Developer (Freelancer),"- Develop applications for B2B and B2C customers 
- Model Integration Angular 6+
- Development of a RESTFUL API in ExpressJS
- Development of an instant cat ( Socket IO )
- API integration (Paypal, Graph API, Google APIs)
- Development of an access system (doctor, admin and patient)
- Develop a technical solution for dental procedures (Dental and Periodontal diagrams)",unckown,unckown,unckown
